customer_id,age,gender,age_group,purchase_amount_usd,customer_value_tier,previous_purchases,engagement_tier,value_engagement_segment,subscription_status,frequency_of_purchases,purchase_frequency_days,category,item_purchased,review_rating,discount_applied,shipping_type,payment_method,location,season
385,70,Male,61-70 (Senior),33,Low Value,6,Low Engagement,Low Value - Low Engagement,Yes,Annually,365,Clothing,Sweater,4.5,Yes,2-Day Shipping,Venmo,California,Fall
386,67,Male,61-70 (Senior),93,High Value,12,Low Engagement,High Value - Low Engagement,Yes,Bi-Weekly,14,Clothing,Shorts,2.7,Yes,Next Day Air,Credit Card,West Virginia,Fall
387,64,Male,61-70 (Senior),39,Low Value,40,High Engagement,Low Value - High Engagement,Yes,Quarterly,90,Accessories,Jewelry,3.4,Yes,Express,PayPal,Louisiana,Spring
388,45,Male,31-45 (Adult),93,High Value,38,High Engagement,High Value - High Engagement,Yes,Bi-Weekly,14,Outerwear,Coat,4.6,Yes,Store Pickup,PayPal,Georgia,Summer
389,22,Male,18-30 (Young Adult),82,High Value,10,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Accessories,Handbag,2.7,Yes,Store Pickup,PayPal,Washington,Summer
390,27,Male,18-30 (Young Adult),42,Medium Value,28,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Footwear,Boots,4.2,Yes,Standard,Bank Transfer,Virginia,Spring
391,25,Male,18-30 (Young Adult),71,Medium Value,19,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Accessories,Gloves,3.2,Yes,2-Day Shipping,PayPal,Indiana,Winter
392,37,Male,31-45 (Adult),86,High Value,25,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Sweater,4.8,Yes,Standard,Cash,Minnesota,Spring
393,26,Male,18-30 (Young Adult),82,High Value,38,High Engagement,High Value - High Engagement,Yes,Annually,365,Clothing,T-shirt,3.3,Yes,Next Day Air,Credit Card,Idaho,Spring
394,33,Male,31-45 (Adult),65,Medium Value,6,Low Engagement,Medium Value - Low Engagement,Yes,Bi-Weekly,14,Footwear,Shoes,4.2,Yes,Standard,PayPal,Vermont,Fall
395,43,Male,31-45 (Adult),29,Low Value,7,Low Engagement,Low Value - Low Engagement,Yes,Bi-Weekly,14,Accessories,Scarf,4.8,Yes,Store Pickup,Debit Card,North Dakota,Spring
396,37,Male,31-45 (Adult),65,Medium Value,2,Low Engagement,Medium Value - Low Engagement,Yes,Annually,365,Footwear,Sneakers,4.9,Yes,Store Pickup,PayPal,Rhode Island,Winter
397,46,Male,46-60 (Middle-Aged),88,High Value,24,Medium Engagement,High Value - Medium Engagement,Yes,Annually,365,Clothing,Dress,3.9,Yes,Standard,Bank Transfer,South Carolina,Fall
398,22,Male,18-30 (Young Adult),46,Medium Value,26,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Accessories,Belt,3.0,Yes,Free Shipping,Cash,Mississippi,Fall
399,20,Male,18-30 (Young Adult),67,Medium Value,25,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Footwear,Boots,4.6,Yes,Free Shipping,Debit Card,Montana,Winter
400,60,Male,46-60 (Middle-Aged),35,Low Value,10,Low Engagement,Low Value - Low Engagement,Yes,Monthly,30,Accessories,Scarf,3.5,Yes,2-Day Shipping,Debit Card,Idaho,Fall
401,39,Male,31-45 (Adult),66,Medium Value,14,Low Engagement,Medium Value - Low Engagement,Yes,Bi-Weekly,14,Footwear,Boots,4.8,Yes,Free Shipping,PayPal,Utah,Winter
402,43,Male,31-45 (Adult),91,High Value,21,Medium Engagement,High Value - Medium Engagement,Yes,Quarterly,90,Clothing,T-shirt,4.8,Yes,Standard,Cash,Oklahoma,Fall
403,31,Male,31-45 (Adult),78,High Value,26,Medium Engagement,High Value - Medium Engagement,Yes,Monthly,30,Accessories,Backpack,3.0,Yes,Express,PayPal,California,Fall
404,19,Male,18-30 (Young Adult),45,Medium Value,12,Low Engagement,Medium Value - Low Engagement,Yes,Annually,365,Footwear,Sneakers,4.5,Yes,Next Day Air,Bank Transfer,Nevada,Winter
405,35,Male,31-45 (Adult),93,High Value,11,Low Engagement,High Value - Low Engagement,Yes,Monthly,30,Clothing,T-shirt,4.8,Yes,Store Pickup,Credit Card,Delaware,Spring
406,41,Male,31-45 (Adult),74,Medium Value,15,Low Engagement,Medium Value - Low Engagement,Yes,Annually,365,Clothing,Jeans,3.8,Yes,Standard,Cash,South Carolina,Summer
407,52,Male,46-60 (Middle-Aged),55,Medium Value,13,Low Engagement,Medium Value - Low Engagement,Yes,Monthly,30,Accessories,Gloves,4.6,Yes,Express,Cash,Maryland,Spring
408,45,Male,31-45 (Adult),76,High Value,5,Low Engagement,High Value - Low Engagement,Yes,Bi-Weekly,14,Clothing,Hoodie,3.1,Yes,Next Day Air,Credit Card,North Carolina,Spring
409,34,Male,31-45 (Adult),66,Medium Value,36,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Footwear,Sneakers,3.4,Yes,Express,Cash,Alabama,Spring
410,35,Male,31-45 (Adult),51,Medium Value,32,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Clothing,Shorts,3.3,Yes,2-Day Shipping,Bank Transfer,Minnesota,Winter
411,29,Male,18-30 (Young Adult),26,Low Value,1,Low Engagement,Low Value - Low Engagement,Yes,Quarterly,90,Clothing,Sweater,4.8,Yes,2-Day Shipping,Credit Card,Virginia,Spring
412,59,Male,46-60 (Middle-Aged),29,Low Value,15,Low Engagement,Low Value - Low Engagement,Yes,Annually,365,Clothing,Jeans,2.8,Yes,Express,PayPal,Michigan,Summer
413,24,Male,18-30 (Young Adult),74,Medium Value,3,Low Engagement,Medium Value - Low Engagement,Yes,Weekly,7,Outerwear,Jacket,3.1,Yes,Store Pickup,Bank Transfer,Maine,Summer
414,70,Male,61-70 (Senior),99,High Value,48,High Engagement,High Value - High Engagement,Yes,Monthly,30,Accessories,Jewelry,4.6,Yes,Free Shipping,Cash,Nevada,Summer
415,29,Male,18-30 (Young Adult),88,High Value,30,Medium Engagement,High Value - Medium Engagement,Yes,Weekly,7,Accessories,Backpack,2.6,Yes,Store Pickup,Debit Card,Wyoming,Winter
416,67,Male,61-70 (Senior),31,Low Value,40,High Engagement,Low Value - High Engagement,Yes,Monthly,30,Outerwear,Coat,2.6,Yes,Express,Bank Transfer,Connecticut,Winter
417,36,Male,31-45 (Adult),55,Medium Value,24,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Belt,3.8,Yes,Free Shipping,Bank Transfer,Oregon,Spring
418,23,Male,18-30 (Young Adult),81,High Value,48,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Footwear,Sandals,4.5,Yes,Free Shipping,Debit Card,Mississippi,Fall
419,18,Male,18-30 (Young Adult),73,Medium Value,27,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Sweater,3.0,Yes,Standard,Venmo,Illinois,Spring
420,53,Male,46-60 (Middle-Aged),91,High Value,14,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Clothing,Shorts,3.7,Yes,Free Shipping,Credit Card,Utah,Winter
421,32,Male,31-45 (Adult),54,Medium Value,18,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Socks,3.8,Yes,Free Shipping,Debit Card,North Carolina,Spring
422,38,Male,31-45 (Adult),40,Medium Value,48,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Shirt,3.5,Yes,Standard,Cash,Kentucky,Winter
423,47,Male,46-60 (Middle-Aged),59,Medium Value,32,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Clothing,Pants,3.1,Yes,Store Pickup,Debit Card,Minnesota,Fall
424,46,Male,46-60 (Middle-Aged),26,Low Value,21,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Scarf,3.0,Yes,Store Pickup,Credit Card,New York,Spring
425,66,Male,61-70 (Senior),23,Low Value,42,High Engagement,Low Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Sweater,4.3,Yes,Standard,PayPal,Illinois,Winter
426,40,Male,31-45 (Adult),87,High Value,4,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Clothing,Jeans,3.3,Yes,Store Pickup,Credit Card,North Dakota,Winter
427,43,Male,31-45 (Adult),71,Medium Value,19,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Clothing,Pants,4.7,Yes,Express,Credit Card,Louisiana,Winter
428,58,Male,46-60 (Middle-Aged),91,High Value,6,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Accessories,Backpack,4.5,Yes,Store Pickup,Credit Card,Illinois,Winter
429,21,Male,18-30 (Young Adult),64,Medium Value,2,Low Engagement,Medium Value - Low Engagement,Yes,Bi-Weekly,14,Outerwear,Coat,2.9,Yes,Free Shipping,Debit Card,Wyoming,Winter
430,42,Male,31-45 (Adult),94,High Value,21,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Footwear,Sandals,4.1,Yes,2-Day Shipping,Cash,Washington,Winter
431,24,Male,18-30 (Young Adult),40,Medium Value,40,High Engagement,Medium Value - High Engagement,Yes,Annually,365,Clothing,Shirt,3.5,Yes,Store Pickup,Debit Card,Texas,Summer
432,43,Male,31-45 (Adult),76,High Value,33,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Hat,3.4,Yes,Store Pickup,Cash,New Hampshire,Winter
433,47,Male,46-60 (Middle-Aged),86,High Value,26,Medium Engagement,High Value - Medium Engagement,Yes,Weekly,7,Clothing,Shirt,3.3,Yes,Free Shipping,Venmo,Indiana,Fall
434,49,Male,46-60 (Middle-Aged),92,High Value,23,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Skirt,3.2,Yes,Store Pickup,Credit Card,Alabama,Fall
435,50,Male,46-60 (Middle-Aged),52,Medium Value,39,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Footwear,Shoes,4.0,Yes,Store Pickup,PayPal,Oklahoma,Spring
436,51,Male,46-60 (Middle-Aged),28,Low Value,42,High Engagement,Low Value - High Engagement,Yes,Monthly,30,Outerwear,Coat,3.6,Yes,Next Day Air,Bank Transfer,Montana,Winter
437,40,Male,31-45 (Adult),46,Medium Value,41,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Clothing,Pants,4.6,Yes,Free Shipping,Bank Transfer,Tennessee,Summer
438,45,Male,31-45 (Adult),50,Medium Value,41,High Engagement,Medium Value - High Engagement,Yes,Annually,365,Accessories,Jewelry,2.6,Yes,Next Day Air,PayPal,New Mexico,Summer
439,52,Male,46-60 (Middle-Aged),23,Low Value,12,Low Engagement,Low Value - Low Engagement,Yes,Bi-Weekly,14,Accessories,Belt,4.3,Yes,Express,Credit Card,Iowa,Winter
440,62,Male,61-70 (Senior),50,Medium Value,31,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Outerwear,Jacket,3.4,Yes,Free Shipping,Cash,Idaho,Summer
441,20,Male,18-30 (Young Adult),89,High Value,34,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Shirt,3.5,Yes,Store Pickup,Debit Card,Oklahoma,Winter
442,43,Male,31-45 (Adult),81,High Value,32,Medium Engagement,High Value - Medium Engagement,Yes,Annually,365,Clothing,Hoodie,4.2,Yes,Standard,Credit Card,Florida,Winter
443,29,Male,18-30 (Young Adult),69,Medium Value,31,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Accessories,Sunglasses,3.8,Yes,Store Pickup,Credit Card,Michigan,Fall
444,22,Male,18-30 (Young Adult),67,Medium Value,24,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Accessories,Sunglasses,3.6,Yes,Free Shipping,PayPal,Hawaii,Summer
445,48,Male,46-60 (Middle-Aged),20,Low Value,31,Medium Engagement,Low Value - Medium Engagement,Yes,Annually,365,Clothing,Dress,4.3,Yes,Store Pickup,Debit Card,California,Summer
446,42,Male,31-45 (Adult),29,Low Value,18,Medium Engagement,Low Value - Medium Engagement,Yes,Annually,365,Footwear,Boots,4.9,Yes,Standard,Venmo,Iowa,Fall
447,19,Male,18-30 (Young Adult),74,Medium Value,15,Low Engagement,Medium Value - Low Engagement,Yes,Monthly,30,Clothing,Shirt,4.1,Yes,Store Pickup,Venmo,West Virginia,Summer
448,60,Male,46-60 (Middle-Aged),82,High Value,7,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Clothing,Shorts,3.6,Yes,Standard,Bank Transfer,Washington,Spring
449,32,Male,31-45 (Adult),23,Low Value,35,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Gloves,3.4,Yes,Next Day Air,Bank Transfer,Missouri,Summer
450,26,Male,18-30 (Young Adult),45,Medium Value,35,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Accessories,Jewelry,2.9,Yes,2-Day Shipping,Bank Transfer,New York,Summer
451,25,Male,18-30 (Young Adult),21,Low Value,19,Medium Engagement,Low Value - Medium Engagement,Yes,Monthly,30,Footwear,Boots,2.7,Yes,Store Pickup,Credit Card,Connecticut,Summer
452,66,Male,61-70 (Senior),31,Low Value,26,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Jewelry,4.3,Yes,Express,Credit Card,Virginia,Summer
453,45,Male,31-45 (Adult),45,Medium Value,39,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Pants,3.7,Yes,Express,PayPal,Missouri,Summer
454,54,Male,46-60 (Middle-Aged),56,Medium Value,22,Medium Engagement,Medium Value - Medium Engagement,Yes,Weekly,7,Accessories,Jewelry,2.8,Yes,Next Day Air,Credit Card,Nebraska,Winter
455,37,Male,31-45 (Adult),97,High Value,14,Low Engagement,High Value - Low Engagement,Yes,Bi-Weekly,14,Outerwear,Jacket,3.2,Yes,Next Day Air,Cash,New Jersey,Summer
456,54,Male,46-60 (Middle-Aged),100,High Value,50,High Engagement,High Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Blouse,3.6,Yes,Store Pickup,Debit Card,Utah,Fall
457,50,Male,46-60 (Middle-Aged),96,High Value,33,Medium Engagement,High Value - Medium Engagement,Yes,Quarterly,90,Clothing,Blouse,4.0,Yes,2-Day Shipping,Credit Card,North Carolina,Fall
458,25,Male,18-30 (Young Adult),99,High Value,48,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Accessories,Gloves,4.9,Yes,Next Day Air,Debit Card,Rhode Island,Spring
459,47,Male,46-60 (Middle-Aged),91,High Value,48,High Engagement,High Value - High Engagement,Yes,Monthly,30,Clothing,Shorts,4.0,Yes,2-Day Shipping,PayPal,Arkansas,Winter
460,63,Male,61-70 (Senior),30,Low Value,27,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Hat,3.8,Yes,Standard,PayPal,Maryland,Winter
461,64,Male,61-70 (Senior),65,Medium Value,27,Medium Engagement,Medium Value - Medium Engagement,Yes,Weekly,7,Footwear,Shoes,3.8,Yes,Store Pickup,Bank Transfer,South Carolina,Summer
462,18,Male,18-30 (Young Adult),93,High Value,20,Medium Engagement,High Value - Medium Engagement,Yes,Weekly,7,Footwear,Boots,3.9,Yes,Express,Venmo,Ohio,Winter
463,59,Male,46-60 (Middle-Aged),81,High Value,48,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Outerwear,Jacket,3.3,Yes,Express,Venmo,Illinois,Fall
464,37,Male,31-45 (Adult),81,High Value,29,Medium Engagement,High Value - Medium Engagement,Yes,Weekly,7,Accessories,Jewelry,2.7,Yes,Standard,Venmo,Georgia,Summer
465,23,Male,18-30 (Young Adult),52,Medium Value,45,High Engagement,Medium Value - High Engagement,Yes,Monthly,30,Accessories,Sunglasses,4.7,Yes,Next Day Air,PayPal,Alabama,Winter
466,54,Male,46-60 (Middle-Aged),88,High Value,25,Medium Engagement,High Value - Medium Engagement,Yes,Quarterly,90,Clothing,Skirt,2.8,Yes,Next Day Air,Cash,Oklahoma,Summer
467,38,Male,31-45 (Adult),24,Low Value,25,Medium Engagement,Low Value - Medium Engagement,Yes,Weekly,7,Clothing,Jeans,4.6,Yes,Free Shipping,PayPal,Vermont,Winter
468,19,Male,18-30 (Young Adult),51,Medium Value,37,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Accessories,Backpack,4.5,Yes,2-Day Shipping,Debit Card,Nebraska,Spring
469,34,Male,31-45 (Adult),38,Low Value,16,Medium Engagement,Low Value - Medium Engagement,Yes,Quarterly,90,Accessories,Backpack,5.0,Yes,Free Shipping,Cash,Georgia,Fall
470,21,Male,18-30 (Young Adult),46,Medium Value,30,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Shorts,4.1,Yes,2-Day Shipping,Debit Card,Alabama,Fall
471,50,Male,46-60 (Middle-Aged),63,Medium Value,6,Low Engagement,Medium Value - Low Engagement,Yes,Quarterly,90,Clothing,Dress,4.6,Yes,Express,Cash,Minnesota,Summer
472,55,Male,46-60 (Middle-Aged),72,Medium Value,36,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Accessories,Scarf,4.9,Yes,2-Day Shipping,Bank Transfer,Missouri,Winter
473,20,Male,18-30 (Young Adult),39,Low Value,3,Low Engagement,Low Value - Low Engagement,Yes,Quarterly,90,Clothing,Jeans,3.9,Yes,Free Shipping,Bank Transfer,Georgia,Winter
474,34,Male,31-45 (Adult),42,Medium Value,29,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Outerwear,Coat,3.9,Yes,Store Pickup,PayPal,West Virginia,Spring
475,62,Male,61-70 (Senior),76,High Value,15,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Clothing,Sweater,2.6,Yes,2-Day Shipping,Cash,Arkansas,Summer
476,21,Male,18-30 (Young Adult),66,Medium Value,18,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Footwear,Sneakers,2.7,Yes,Free Shipping,Debit Card,Ohio,Summer
477,21,Male,18-30 (Young Adult),90,High Value,2,Low Engagement,High Value - Low Engagement,Yes,Bi-Weekly,14,Accessories,Scarf,3.5,Yes,Free Shipping,Debit Card,Connecticut,Spring
478,42,Male,31-45 (Adult),56,Medium Value,49,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Clothing,Sweater,3.7,Yes,Free Shipping,Debit Card,North Dakota,Summer
479,35,Male,31-45 (Adult),43,Medium Value,48,High Engagement,Medium Value - High Engagement,Yes,Annually,365,Accessories,Jewelry,3.2,Yes,Free Shipping,Venmo,Kansas,Winter
480,39,Male,31-45 (Adult),84,High Value,43,High Engagement,High Value - High Engagement,Yes,Monthly,30,Accessories,Handbag,3.3,Yes,Store Pickup,Venmo,Iowa,Winter
481,68,Male,61-70 (Senior),88,High Value,30,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Hoodie,4.8,Yes,Standard,Debit Card,Vermont,Summer
482,46,Male,46-60 (Middle-Aged),88,High Value,10,Low Engagement,High Value - Low Engagement,Yes,Bi-Weekly,14,Accessories,Hat,3.2,Yes,2-Day Shipping,PayPal,Wisconsin,Fall
483,41,Male,31-45 (Adult),42,Medium Value,11,Low Engagement,Medium Value - Low Engagement,Yes,Annually,365,Accessories,Belt,2.5,Yes,2-Day Shipping,Venmo,Connecticut,Winter
484,23,Male,18-30 (Young Adult),73,Medium Value,12,Low Engagement,Medium Value - Low Engagement,Yes,Weekly,7,Clothing,Hoodie,3.9,Yes,Store Pickup,Debit Card,Oklahoma,Fall
485,68,Male,61-70 (Senior),73,Medium Value,28,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Accessories,Hat,4.7,Yes,Free Shipping,Bank Transfer,Missouri,Summer
486,48,Male,46-60 (Middle-Aged),44,Medium Value,36,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Footwear,Shoes,2.6,Yes,Next Day Air,Debit Card,Tennessee,Spring
487,38,Male,31-45 (Adult),63,Medium Value,37,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Footwear,Sandals,2.8,Yes,Store Pickup,Venmo,New Mexico,Fall
488,41,Male,31-45 (Adult),68,Medium Value,22,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Outerwear,Jacket,4.4,Yes,Store Pickup,Credit Card,Iowa,Winter
489,58,Male,46-60 (Middle-Aged),29,Low Value,32,Medium Engagement,Low Value - Medium Engagement,Yes,Weekly,7,Clothing,Sweater,4.6,Yes,Standard,Venmo,Maine,Spring
490,49,Male,46-60 (Middle-Aged),85,High Value,40,High Engagement,High Value - High Engagement,Yes,Annually,365,Clothing,Socks,3.2,Yes,Standard,PayPal,South Dakota,Summer
491,57,Male,46-60 (Middle-Aged),42,Medium Value,47,High Engagement,Medium Value - High Engagement,Yes,Monthly,30,Footwear,Sneakers,4.2,Yes,2-Day Shipping,Cash,Colorado,Winter
492,49,Male,46-60 (Middle-Aged),69,Medium Value,24,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Outerwear,Coat,3.8,Yes,2-Day Shipping,Credit Card,Vermont,Summer
493,50,Male,46-60 (Middle-Aged),62,Medium Value,11,Low Engagement,Medium Value - Low Engagement,Yes,Weekly,7,Clothing,Shirt,3.9,Yes,Standard,Debit Card,Michigan,Fall
494,28,Male,18-30 (Young Adult),48,Medium Value,19,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Backpack,4.7,Yes,Store Pickup,Cash,Nevada,Summer
495,38,Male,31-45 (Adult),68,Medium Value,42,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Footwear,Boots,4.5,Yes,Express,Debit Card,Indiana,Winter
496,33,Male,31-45 (Adult),36,Low Value,6,Low Engagement,Low Value - Low Engagement,Yes,Bi-Weekly,14,Accessories,Handbag,3.3,Yes,Free Shipping,Debit Card,Michigan,Fall
497,30,Male,18-30 (Young Adult),63,Medium Value,31,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Dress,3.3,Yes,Express,Venmo,California,Fall
498,43,Male,31-45 (Adult),39,Low Value,31,Medium Engagement,Low Value - Medium Engagement,Yes,Weekly,7,Footwear,Sneakers,4.6,Yes,Free Shipping,Cash,Oklahoma,Winter
499,43,Male,31-45 (Adult),78,High Value,27,Medium Engagement,High Value - Medium Engagement,Yes,Monthly,30,Footwear,Boots,3.6,Yes,Free Shipping,Bank Transfer,Iowa,Spring
500,36,Male,31-45 (Adult),99,High Value,24,Medium Engagement,High Value - Medium Engagement,Yes,Monthly,30,Footwear,Shoes,4.8,Yes,Express,PayPal,Rhode Island,Winter
501,36,Male,31-45 (Adult),31,Low Value,35,Medium Engagement,Low Value - Medium Engagement,Yes,Quarterly,90,Clothing,T-shirt,4.8,Yes,Next Day Air,Venmo,Washington,Fall
502,64,Male,61-70 (Senior),45,Medium Value,21,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Footwear,Boots,2.9,Yes,Next Day Air,Venmo,Florida,Spring
503,59,Male,46-60 (Middle-Aged),30,Low Value,8,Low Engagement,Low Value - Low Engagement,Yes,Bi-Weekly,14,Clothing,Pants,2.8,Yes,Express,PayPal,South Carolina,Fall
504,55,Male,46-60 (Middle-Aged),24,Low Value,26,Medium Engagement,Low Value - Medium Engagement,Yes,Quarterly,90,Footwear,Shoes,3.2,Yes,Next Day Air,Bank Transfer,West Virginia,Summer
505,42,Male,31-45 (Adult),22,Low Value,26,Medium Engagement,Low Value - Medium Engagement,Yes,Annually,365,Footwear,Shoes,3.9,Yes,Free Shipping,PayPal,Missouri,Winter
506,61,Male,61-70 (Senior),63,Medium Value,9,Low Engagement,Medium Value - Low Engagement,Yes,Bi-Weekly,14,Clothing,T-shirt,4.3,Yes,Express,Cash,Maine,Spring
507,28,Male,18-30 (Young Adult),40,Medium Value,48,High Engagement,Medium Value - High Engagement,Yes,Annually,365,Accessories,Scarf,2.7,Yes,2-Day Shipping,Debit Card,Georgia,Fall
508,65,Male,61-70 (Senior),20,Low Value,33,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Shorts,5.0,Yes,Store Pickup,Debit Card,Maine,Spring
509,27,Male,18-30 (Young Adult),20,Low Value,31,Medium Engagement,Low Value - Medium Engagement,Yes,Quarterly,90,Accessories,Jewelry,3.7,Yes,Store Pickup,PayPal,Illinois,Winter
510,41,Male,31-45 (Adult),80,High Value,17,Medium Engagement,High Value - Medium Engagement,Yes,Weekly,7,Clothing,T-shirt,3.9,Yes,Free Shipping,Debit Card,Delaware,Summer
511,21,Male,18-30 (Young Adult),87,High Value,22,Medium Engagement,High Value - Medium Engagement,Yes,Annually,365,Clothing,Shirt,3.9,Yes,2-Day Shipping,Venmo,West Virginia,Fall
512,61,Male,61-70 (Senior),46,Medium Value,8,Low Engagement,Medium Value - Low Engagement,Yes,Annually,365,Clothing,Shirt,3.1,Yes,Free Shipping,PayPal,Hawaii,Fall
513,19,Male,18-30 (Young Adult),49,Medium Value,2,Low Engagement,Medium Value - Low Engagement,Yes,Monthly,30,Accessories,Gloves,3.8,Yes,Next Day Air,Bank Transfer,New York,Winter
514,22,Male,18-30 (Young Adult),65,Medium Value,45,High Engagement,Medium Value - High Engagement,Yes,Annually,365,Accessories,Scarf,3.6,Yes,Store Pickup,Venmo,New Mexico,Fall
515,64,Male,61-70 (Senior),62,Medium Value,47,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Clothing,Skirt,4.3,Yes,Standard,PayPal,Indiana,Winter
516,28,Male,18-30 (Young Adult),67,Medium Value,7,Low Engagement,Medium Value - Low Engagement,Yes,Monthly,30,Accessories,Hat,4.5,Yes,Next Day Air,Cash,Kentucky,Spring
517,34,Male,31-45 (Adult),41,Medium Value,19,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Hoodie,2.8,Yes,2-Day Shipping,Debit Card,West Virginia,Fall
518,61,Male,61-70 (Senior),49,Medium Value,44,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Footwear,Boots,2.7,Yes,Free Shipping,Cash,North Dakota,Fall
519,24,Male,18-30 (Young Adult),100,High Value,16,Medium Engagement,High Value - Medium Engagement,Yes,Quarterly,90,Clothing,Blouse,2.9,Yes,Next Day Air,Venmo,Oregon,Fall
520,19,Male,18-30 (Young Adult),54,Medium Value,17,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Accessories,Belt,4.4,Yes,2-Day Shipping,Bank Transfer,Minnesota,Summer
521,51,Male,46-60 (Middle-Aged),84,High Value,20,Medium Engagement,High Value - Medium Engagement,Yes,Quarterly,90,Accessories,Sunglasses,3.9,Yes,Free Shipping,Debit Card,South Carolina,Spring
522,36,Male,31-45 (Adult),41,Medium Value,50,High Engagement,Medium Value - High Engagement,Yes,Annually,365,Clothing,Shorts,3.5,Yes,Standard,Bank Transfer,Vermont,Winter
523,65,Male,61-70 (Senior),88,High Value,37,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Accessories,Gloves,2.5,Yes,Store Pickup,Cash,Minnesota,Spring
524,46,Male,46-60 (Middle-Aged),40,Medium Value,5,Low Engagement,Medium Value - Low Engagement,Yes,Quarterly,90,Footwear,Sandals,4.9,Yes,Express,PayPal,Delaware,Spring
525,59,Male,46-60 (Middle-Aged),39,Low Value,44,High Engagement,Low Value - High Engagement,Yes,Annually,365,Clothing,Shirt,4.8,Yes,Free Shipping,PayPal,Pennsylvania,Summer
526,51,Male,46-60 (Middle-Aged),37,Low Value,41,High Engagement,Low Value - High Engagement,Yes,Monthly,30,Outerwear,Coat,3.2,Yes,Next Day Air,Debit Card,Iowa,Spring
